mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
CSS,………….. sets the font style to italic on all strong tags that are immediately preceded by a P tag.,Multiple Choice Question,"1, 2, 3, 4",P+strong {font-style: italic;},P~strong {font-style: italic;},P&gt;strong {font-style: italic;},P strong {font-style: italic;},-,A,,LEVEL 2
React,ref is used to refer a element / component returned by _______________.,Multiple Choice Question,"1, 2, 3, 4",react(),render(),reduce(),refer(),-,B,,LEVEL 1
JS Closure and Scope,Which of the following type of variable takes precedence over other if names are same?,Multiple Choice Question,"1, 2, 3, 4",global variable,local variable,Both of the above.,None of the above.,,B,-,LEVEL 1
Javascript,What will the code return?<br>Boolean(3 &lt; 7),Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,NaN,SyntaxError,,A,,LEVEL 2
Aptitude - HCF & LCM,"<p>There are 48 cricket balls, 72 hockey balls and 84 tennis balls and they have to be arranged in several rows in such a way that every row contains the same number of balls of one type. What is the minimum number of rows required for this to happen? </p>",Multiple Choice Question,"1, 2, 3, 4",12,16,17,19,,A,-,LEVEL 3
Javascript,What's the output?<br>const name = 'Lydia Hallie';<br><br>console.log(!typeof name === 'object');<br>console.log(!typeof name === 'string');,Multiple Choice Question,"1, 2, 3, 4",false true,true false,false false,true true,,C,,LEVEL 2
HTML,All html5 tags must ..........,Multiple Choice Question,"1, 2, 3, 4",Uppercase,Lowercase,Both Uppercase & Lowercase,None of the above,-,B,-,LEVEL 2
Js-13jul,"What will be the output of the following JavaScript code? <br /> <br />&lt;p id=""demo""&gt;&lt;/p&gt; <br />&lt;script&gt; <br />var x = 10; <br />var y = ""20""; <br />var z = x + y; <br />document.getElementById(""demo"").innerHTML = z;",Multiple Choice Question,"1, 2, 3, 4",30,10 20,1020,Error,,C,-,LEVEL 2
HTML,how many participants are thereby telnetting via FTP?,Multiple Choice Question,"1, 2, 3, 4",Two,Three,Four,None of These,,B,-,LEVEL 1
HTML,The HTTP response message leaves out the requested object when ____________ method is used,Multiple Choice Question,"1, 2, 3, 4",GET,POST,HEAD,PUT,-,C,-,LEVEL 2
Aptitude Quiz - Coding & Decoding,"In a certain language, if a word TREE is written as 3523, FAT is written as 587, CALL is written as 6746, then how is CREATE written as in that language?",Multiple Choice Question,"1, 2, 3, 4",432753,425375,423753,427537,,C,-,LEVEL 1
Javascript,How does a FOR loop start?,Multiple Choice Question,"1, 2, 3, 4",for i = 1 to 5,for (i &lt;= 5; i++),for (i = 0; i &lt;= 5),for (i = 0; i &lt;= 5; i++),,D,,LEVEL 2
Node,Which of the following classes is the parent for repl.REPLServer class?,Multiple Choice Question,"1, 2, 3, 4",REPL.Interface,readline.Interfase,REPL,REPLSERVER,,B,-,LEVEL 1
Node,Which of the following can be used to access the environment variable?,Multiple Choice Question,"1, 2, 3, 4",process.env,process.argv,process.env.var,process.environment,,A,-,LEVEL 1
React,ReactJS renders Components start with?,Multiple Choice Question,"1, 2, 3, 4",Variable,Uppercase,Lowercase,curly brackets,,D,,LEVEL 2
HTML,Which tag will you add to specify a font for your whole page?,Multiple Choice Question,"1, 2, 3, 4",&lt;defaultfont&gt;,&lt;targetfont&gt;,&lt;basefont&gt;,&lt;font&gt;,-,A,,LEVEL 1
"Javascript 2 ""this"" keyword",Which of the following statement about arrow functions is not correct.,Multiple Choice Question,"1, 2, 3, 4",Arrow Functions adopt this binding of enclosing scope,Lexical Binding of arrow functions can be overridden with explicit binding.,this binding of arrow functions is different from the finding of normal functions.,,,B,-,LEVEL 1
Javascript,Which of the following syntax is correct to refer an external script called “formValidation.js”?,Multiple Choice Question,"1, 2, 3, 4",&lt;script href = “formValidation.js”&gt;,&lt;script source = “formValidation.js”&gt;,&lt;script name = “formValidation.js”&gt;,&lt;script src = “formValidation.js”&gt;,,D,,LEVEL 2
CSS,Which of the following media query describe describes the height of the screen or full height of the output page?,Multiple Choice Question,"1, 2, 3, 4",height,aspect-ratio,device-height,resolution,-,C,,LEVEL 3
HTML,when was Web first initiated:,Multiple Choice Question,"1, 2, 3, 4",1990,1991,1992,1993,,B,-,LEVEL 1
Javascript,"The unordered collection of properties, each of which has a name and a value is called",Multiple Choice Question,"1, 2, 3, 4",String,Object,Serialized Object,All of the mentioned,,B,,LEVEL 2
CSS,What is the correct CSS syntax for making all the &lt;p&gt; elements bold?,Multiple Choice Question,"1, 2, 3, 4",&lt;p style=”text-size:bold”&gt;,p {font-weight:bold},p {text-size:bold},&lt;p style=”font-size:bold”&gt;,-,B,,LEVEL 2
CSS,Which CSS property is used to change distance between words in text?,Multiple Choice Question,"1, 2, 3, 4",word-spacing,letter-spacing,text-align,white-space,-,A,,LEVEL 1
CSS,"_______ implementation that introduced text, list, box, margin, border, color, and background properties.",Multiple Choice Question,"1, 2, 3, 4",css,html,ajax,php,-,A,-,LEVEL 1
React,What will be the output of the following code?<br>class MyForm extends React.Component {<br>render() {<br>return (<br>&lt;'form'&gt;<br>&lt;'p'&gt;Enter your name:&lt;'/p'&gt;<br>&lt;'input<br>type='text'/'&gt;<br>&lt;'/form'&gt;<br>);<br>},Multiple Choice Question,"1, 2, 3, 4","it will display ""Enter your name:""","it will display ""Enter your name:"" and a input box","it will display ""Enter your name:"" inside a input box",error,-,B,,LEVEL 2
Javascript,What is the difference between the two lines in the following JavaScript code?<br>!!(obj1 && obj2);<br>(obj1 && obj2);,Multiple Choice Question,"1, 2, 3, 4",Both the lines result in a boolean value “True”,Both the lines result in a boolean value “False”,Both the lines check just for the existence of the object alone,The first line results in a real boolean value whereas the second line merely checks for the existence of the objects&lt;,,D,,LEVEL 2
ANSR Section A - Aptitude Slot 1,"The sum of three natural numbers a,b,c is 100 if a divides b and b divides c then what will be the minimum value of b+c?",Multiple Choice Question,"1, 2, 3, 4",15,75,80,60,,B,-,LEVEL 1
JS DOM,An HTMLCollection is  an array,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,,,,B,-,LEVEL 1
CSS,The different ways to associate styles with a HTML document is/are,Multiple Choice Question,"1, 2, 3, 4",Embedded CSS with &lt;style&gt; element,Inline CSS with style attribute.,External CSS with &lt;link&gt; element.,All of the above,-,D,-,LEVEL 1
Pototype and Inheritance,The property of JSON() method is?,Multiple Choice Question,"1, 2, 3, 4",it can be invoked manually as object.JSON(),it will be automatically invoked by the compiler,it is invoked automatically by the JSON.stringify() method,it cannot be invoked in any form,,C,-,LEVEL 1
Javascript,"State Whether the following Statement about src attribute on JavaScript.<br><br>i) It simplifies the HTML files by allowing you to remove large blocks of JavaScript code from them.<br><br>ii) If a file of JavaScript code is shared by more than one page, it only needs to be downloaded once, by the first page that uses it.<br><br>iii) Linking to JavaScript code on Google servers can decrease the start-up time for the web pages, since the code already existed on all of the user's browser.",Multiple Choice Question,"1, 2, 3, 4","i-True, ii-False, iii-True","i-True, ii-True, iii-False","i-True, ii-True, iii-False","i-False, ii-False, iii-True",,B,,LEVEL 2
CSS,"Which of the following function applies a saturation effect to an element’s color, making it appear more or less vivid, for use by the filter property?",Multiple Choice Question,"1, 2, 3, 4",color(),saturation(),saturate(),none of the mentioned,-,B,-,LEVEL 3
Javascript,What is the purpose of destroying the functions and objects?,Multiple Choice Question,"1, 2, 3, 4",Consume unnecessary CPU cycles,Prevent the dropping of reference count to 0,Centralize the responsibility to clean up,All of the mentioned,,D,,LEVEL 2
Javascript,. What is the purpose of the event window.onpopstate?,Multiple Choice Question,"1, 2, 3, 4",When a state object is replaced,When a state object is added,When a state object is removed,None of the mentioned,,C,,LEVEL 2
Total js,"If a function doesn’t explicitly use the “return” operator, what will the return value be when the function is invoked?",Multiple Choice Question,"1, 2, 3, 4",null,undefined,FALSE,closure,NaN,B,-,LEVEL 1
Js-7jul,The maximum number of global symbols a module can define is ____________,Multiple Choice Question,"1, 2, 3, 4",2,3,1,4,,C,-,LEVEL 2
Javascript,What is the purpose of the window.location object in JavaScript ?,Multiple Choice Question,"1, 2, 3, 4",Get the path to the next page,Get the URL and redirect,Get the location of the cursor,All of the Above,,B,,LEVEL 3
DSA Stacks,Consider the following operations performed on a stack of size 5 : Push (a); Pop() ; Push(b); Push(c); Pop(); Push(d); Pop();Pop(); Push (e) Which of the following statements is correct?,Multiple Choice Question,"1, 2, 3, 4",Underflow,Smooth function,Overflow,None,,B,-,LEVEL 1
Javascript,Which is not an attribute of the cookie property?,Multiple Choice Question,"1, 2, 3, 4",path,host,secure,domain,,B,,LEVEL 2
CSS,Which of the following CSS Property Defines the area of an absolutely positioned element that remains visible?,Multiple Choice Question,"1, 2, 3, 4",clamp,clip,visibility,static,-,B,,LEVEL 3
HTML,HTML tags are enclosed in ___,Multiple Choice Question,"1, 2, 3, 4",&lt; and &gt;,# and #,! and ?,{ and },-,A,-,LEVEL 3
Javascript,Which of the following are the unnecessary events currently ?,Multiple Choice Question,"1, 2, 3, 4",DOMNodeInserted,DOMActivate,DOMFocusIn,All of the Above,,D,,LEVEL 2
Javascript,What will be the output of the following JavaScript code?<br>&lt;pre&gt;int a=4;<br>int b=1;<br>int c=0;<br>If(a==b)<br>  document.write(a);<br>else if(a==c)<br>  document.write(a);<br>else<br>  document.write(c);,Multiple Choice Question,"1, 2, 3, 4",4,1,Error,0,,D,,LEVEL 2
Node,What interface is used to access folders on your local drive ?,Multiple Choice Question,"1, 2, 3, 4",file,fs,fso,drive,,B,-,LEVEL 1
DBMS2,How do you get details of a person first name peter from person database?,Multiple Choice Question,"1, 2, 3, 4",Select [all] from person where Firstname = ‘peter’,Select * from person where Firstname = ‘peter’,Select * from person where Firstname like ‘peter’,,,B,-,LEVEL 1
Javascript,Which of the following is a subtype of Blob ?,Multiple Choice Question,"1, 2, 3, 4",Data Object,Elemental Object,Create Object,File Object,,D,,LEVEL 1
Node,How do you check that a value is a date object in Node?,Multiple Choice Question,"1, 2, 3, 4",util.types.isDate(value),assert.isDate(value),console.isDate(value),util.date(value),,A,-,LEVEL 1
Javascript,. What is the purpose of the file_get_contents()?,Multiple Choice Question,"1, 2, 3, 4",To get the errors and exceptions,To get the client’s response,To get the server’s response,None of the mentioned,,C,,LEVEL 2
JS Call bind apply,"Which one of the following options is the correct output for the given code of JavaScript?<br /><br />var arr=[1, 3, 5, 8 ,11]; <br />var value =Math.max.apply(null,arr); <br />document.write(value);",Multiple Choice Question,"1, 2, 3, 4",7,11,3,9,,B,-,LEVEL 3
CSS,In css what does h1 can be called as,Multiple Choice Question,"1, 2, 3, 4",Selector,attribute,value,tag,-,A,,LEVEL 2
ES6,"What shows in the console?<br>function show(...items) {<br>console.log(items);<br>}<br>show(""a"", ""b"", ""c"");",Multiple Choice Question,"1, 2, 3, 4","""a"", ""b"", ""c""","[""a"", ""b"", ""c""]","""a""",throw an error,-,B,,LEVEL 2
Node,Which of the following are correct ways for Callback in NodeJS?,Multiple Choice Question,"1, 2, 3, 4",Callback is an Asynchronous equivalent for a function.,Callback function is called before the completion of a given task,Callback function is called at the completion,All of above,,C,-,LEVEL 1
Javascript,Which is one of way to query a document for an element or elements ?,Multiple Choice Question,"1, 2, 3, 4",With the specified tag name,With a specified id attribute,Matching the specified CSS selector,All of the Above,,D,,LEVEL 2
Javascript,Which of the following are the errors in JavaScript?,Multiple Choice Question,"1, 2, 3, 4",Load time errors,Run time errors:,Logical Errors:,All of the above,,B,,LEVEL 2
Total js,Which of the following declares a variable with a value of string type?,Multiple Choice Question,"1, 2, 3, 4",var string myVar = “This is a string”;,var myVar = “This is a string”;,string myVar = “This is a string”;,,,B,-,LEVEL 1
Javascript,. Assume that we have to convert “false” that is a non-string to string. The command that we use is (without invoking the<br>“new” operator),Multiple Choice Question,"1, 2, 3, 4",false.toString(),String(false),String newvariable=”false”,Both false.toString() and String(false),,D,,LEVEL 2
Javascript,"Consider the following code snippet<br>function tail(o)<br>{<br> for (; o.next; o = o.next) ;<br> return o;<br>}<br>Will the above code snippet work? If not, what will be the error?",Multiple Choice Question,"1, 2, 3, 4","No, this will throw an exception as only numerics can be used in a for loop","No, this will not iterate","Yes, this will work","No, this will result in a runtime error with the message “Cannot use Linked List”",,C,,LEVEL 2
HTML,"A ……………. defines the actual elements, attributes and elements relationships that are valid in documents.",Multiple Choice Question,"1, 2, 3, 4",DCD,DTD,DDT,DIT,-,B,,LEVEL 1
HTML,a code segment that replicates by attaching copies of itself to existing executables<br>Is known as,Multiple Choice Question,"1, 2, 3, 4",Virus,Worm,Trojan horse,None,,A,-,LEVEL 1
OS2,"Applying the LRU page replacement to the following reference string.
1 2 4 5 2 1 2 4
The main memory can accommodate 3 pages and it already has pages 1 and 2. Page 1 came in before page 2.
How many page faults will occur?",Multiple Choice Question,"1, 2, 3, 4",2,3,4,5,,C,-,LEVEL 1
Total js,What are curly braces (“{” and “}”) used for?,Multiple Choice Question,"1, 2, 3, 4",Parsing JSON,Defining a class,Block declarations and object literals,Setting attributes,Invoking a function,C,-,LEVEL 1
JS-16JUL,"What will be the output of the following JavaScript code? <br /><br />functioncomparison() <br />{ <br />int number=10; <br />if(number===""10"") <br />returntrue; <br />else <br />returnfalse; <br />}",Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,runtime error,compilation error,,A,-,LEVEL 2
Sanskrit-lecture-9-quiz-1,"choose the correct option according to the picture

जनकः  _____धान्यं ददाति janakaḥ  _____dhānyaṃ dadāti",Multiple Choice Question,"1, 2, 3, 4",कपोतस्य कृते kapotasya kṛte,कपोते kapote,कपोतस्य kapotasya,,,A,-,LEVEL 1
LR - Number Series,"<p>520, 418, 316, 214, 112, ?</p>",Multiple Choice Question,"1, 2, 3, 4",10,111,110,108,,A,,LEVEL 2
Javascript,Which function is used to create data frames ?,Multiple Choice Question,"1, 2, 3, 4",frame(data),data.frames(),frame.data(),data.frame(),,D,,LEVEL 2
CSS,Each style rule in a rule list has …… parts:,Multiple Choice Question,"1, 2, 3, 4",one,two,three,four,-,B,,LEVEL 2
SQ,"Following is C like pseudo-code of a function that takes a Queue as an argument, and uses a stack S to do the processing.
	
         void fun(Queue *Q){
	Stack S; // Say it creates an empty stack S

	// Run while Q is not empty
	while (!isEmpty(Q))
	{
	// deQueue an item from Q and push the dequeued item to S
		push(&S, deQueue(Q));
	}

	// Run while Stack S is not empty
	while (!isEmpty(&S))
	{
	// Pop an item from S and enqueue the poppped item to Q
	enQueue(Q, pop(&S));
	}
}",Multiple Choice Question,"1, 2, 3, 4",Removes the last from Q.,Keeps the Q same as it was before the call.,Makes the Q empty.,Reverses the Queue.,,D,-,LEVEL 1
CSS,Which of the following css property should be used to make a responsive image?,Multiple Choice Question,"1, 2, 3, 4",float,max-width,margin-right,all of the mentioned,-,D,,LEVEL 2
ES6,"(function(x, f = () =&gt; x) {<br>  var x;<br>  var y = x;<br>  x = 2;<br>  return [x, y, f()];<br>})(1)",Multiple Choice Question,"1, 2, 3, 4","[2, 1, 1]","[2, undefined, 1]","[2, 1, 2]","[2, undefined, 2]",-,A,,LEVEL 2
DSA Graph,Which of the following ways can be used to represent a graph?,Multiple Choice Question,"1, 2, 3, 4",Adjacency List and Adjacency Matrix,Incidence Matrix,"Adjacency List, Adjacency Matrix as well as Incidence Matrix",No way to represent,,C,-,LEVEL 1
HTML,A much better approach to establish the base URL is to use the _________ element.,Multiple Choice Question,"1, 2, 3, 4",HEAD,BODY,BASE,All of the above,-,C,-,LEVEL 1
CSS,What is the actual width of &lt;aside&gt; HTML element?<br>&lt;html&gt;<br>&lt;head&gt;<br>&lt;style&gt;<br>section {<br>background: red;<br>display: flex;<br>width: 300px;<br>height: 300px;<br>}<br>div {<br>flex-grow: 1;<br>background: blue;<br>}<br>aside {<br>flex-grow: 2;<br>background: green;<br>}<br>&lt;/style&gt;<br>&lt;/head&gt;<br>&lt;body&gt;<br>&lt;section&gt;<br>&lt;div&gt;&lt;/div&gt;<br>&lt;aside&gt;&lt;/aside&gt;<br>&lt;/section&gt;<br>&lt;/body&gt;<br>&lt;/html&gt;,Multiple Choice Question,"1, 2, 3, 4",100px,300px,200px,150px,-,C,,LEVEL 1
Node,Which of the following should not to use in NodeJS?,Multiple Choice Question,"1, 2, 3, 4",1/0 bound Applications,CPU Intensive Applications,Data Streaming Applications,Data Intensive Real-time Applications,,B,-,LEVEL 1
Javascript,"During the traversing through the stack, where does it go after it goes to the namespace ?",Multiple Choice Question,"1, 2, 3, 4",Location,Document,Function,Window,,D,,LEVEL 3
HTML,By typing ____ we can exit from Telnet:,Multiple Choice Question,"1, 2, 3, 4",a,e,q,None of these,,B,-,LEVEL 1
TCP/IP and OSI Model,Is the MAC address dynamic?,Multiple Choice Question,"1, 3, 4",TRUE,FALSE,,,,B,-,LEVEL 1
HTML,Which property of SVG restricts the region to which paint can be applied?,Multiple Choice Question,"1, 2, 3, 4",animateTransform,clip-Path,linearGradient,radialGradient,-,B,-,LEVEL 3
CSS,"_______selectors, which are used to specify a group of elements",Multiple Choice Question,"1, 2, 3, 4",id,class,tag,both (B) and (C),-,B,,LEVEL 2
Aptitude - Ratios,<p>The total number of pupils in three classes of a school is 333. The number of pupils in classes I and II are in the ratio of 3:5 and those in classes II and III are in the ratio of 7:11. Find the number of pupils in the class that had the highest number of pupils.</p>,Multiple Choice Question,"1, 2, 3, 4",63,105,165,180,,C,-,LEVEL 2
Aptitude - Number Series Pattern Recognition,"If RAMESH is 64, what is GIRISH?",Multiple Choice Question,"1, 2, 3, 4",65,70,72,73,,B,-,LEVEL 2
Node,Which of the following is not a valid HTTP method ?,Multiple Choice Question,"1, 2, 3, 4",get,put,post,header,,D,-,LEVEL 1
HTML,Pick the odd out,Multiple Choice Question,"1, 2, 3, 4",Table,TR,TD,Form,-,A,-,LEVEL 2
LR - Logical Problems,"How many days will be there from 26th January, 2004 to 15th May, 2004 (Both days included)",Multiple Choice Question,"1, 2, 3, 4",110,111,112,113,,B,,LEVEL 2
October Entrance Section C - Slot 3,"Let's have some fun with binary numbers today:-
We all know that a binary number is a number expressed in the base-2 numeral system or binary numeral system, which uses only two symbols: typically ""0"" (zero) and ""1"" (one). For eg:- 3 written as 11, 4 as 100, 5 as 101 and so on.
We have some shifts in binary numbers called as Bit shifts, The bit shifts are sometimes considered bitwise operations, because they treat a value as a series of bits rather than as a numerical quantity. In these operations the digits are moved, or shifted, to the left or right. For eg:- lets pick 10 it's binary representation will be 1010 by shifting the bits to the left means adding a zero at last that it the representation will become 10100 which donates 20, however a right shifts make it 101 which donates the number 5 one more right shift will delete the last 1 which makes the representation as 10 which depicts 2.
Also we have some operation in binary number as:-

XOR:-
The result of bitwise XOR operator is 1 if the corresponding bits of two operands are opposite.
Bitwise XOR Operation of 12 and 25
         01100
XOR 11001
         _____
        10101  = 21 (In decimal)

What is the minimum number of binary shifts required to convert 117 to 56. You can only perform operations on 117.",Multiple Choice Question,"1, 2, 3, 4",5,4,6,Not possible,,A,-,LEVEL 1
Node,What does Node.js run on?,Multiple Choice Question,"1, 2, 3, 4",database,client,SAN,server,,D,-,LEVEL 1
HTML,HTML5 is supported in not all modern browsers.,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,,,-,B,-,LEVEL 1
Javascript,Which of the following JavaScript logging tool is standalone ?,Multiple Choice Question,"1, 2, 3, 4",Log Hound,jsTracer,fvlogger,Blackbird,,A,,LEVEL 2
Javascript,. Which is the alternate name for JavaScriptCore that is used by Safari?,Multiple Choice Question,"1, 2, 3, 4",Nitro,SpiderMoney,Carakan,None of the mentioned,,A,,LEVEL 2
CSS,_____________ property specifies whether the mask should scroll or stay fixed when the page is scrolled.,Multiple Choice Question,"1, 2, 3, 4",mask-origin,mask-image,mask-box-image,mask-attachment,None of these,D,,LEVEL 3
Js-7jul,What does the subexpression /java(script)?/ result in?,Multiple Choice Question,"1, 2, 3, 4",It matches “java” followed by the optional “script”,It matches “java” followed by any number of “script”,It matches “java” followed by a minimum of one “script”,It matches “java” followed by a single “script”,,A,-,LEVEL 2
HTML,Who invented World Wide Web (WWW)?,Multiple Choice Question,"1, 2, 3, 4",Blaise Pascal,Charles Babbage,Herman Hollerith,Tim Berners-Lee,-,C,-,LEVEL 1
HTML,Which of the following is used to explore the Internet?,Multiple Choice Question,"1, 2, 3, 4",Browser,Spreadsheet,Clipboard,Draw,-,C,,LEVEL 1
JS Arrays,"What does the following JavaScript code snippet do? <br /> <br />data.sort(function(a,b),b-a);",Multiple Choice Question,"1, 2, 3, 4",Sort in the alphabetical order,Sort in the chronological order,Sort in reverse alphabetical order,Sort in reverse numerical order,,D,-,LEVEL 2
Javascript,The events that is emulated by the jQuery library are,Multiple Choice Question,"1, 2, 3, 4",focusin and focusout,focusdown and focusup,focusall and focusnone,focusarea and focusover,,C,,LEVEL 2
CSS Continued - 11th May 2020,Which of the following CSS property can set whether an element is treated as a block or inline element ?,Multiple Choice Question,"1, 2, 3, 4",block,Inline,display,layout,,C,-,LEVEL 1
JS-ass-1JUL,"Which one of the following options is the correct output for the given code of JavaScript? <br>&nbsp;<br>vararr=[1, 3, 5, 8 ,11]; &nbsp; <br>var value =Math.max.apply(null,arr); &nbsp; <br>document.writeln(value);",Multiple Choice Question,"1, 2, 3, 4",7,11,3,9,,B,-,LEVEL 1
CSS,"Which of the following property defines a color for the face of a scroll bar, including arrow regions and the scroll box?",Multiple Choice Question,"1, 2, 3, 4",scrollbar-face,scrollbar-face-color,scrollbar-face-background,scrollbar-background,-,C,,LEVEL 3
Javascript,Which is the method invoked to connect the last vertex back to the first?,Multiple Choice Question,"1, 2, 3, 4",closePath(),close(),connectlast(first),none of the mentioned,,A,,LEVEL 2
Sanskrit Lecture Quiz 16,विवेकानन्दस्य ______ नाम नरेन्द्रः आसीत्।एपीजे. अब्दुल कलामः भारतदेशस्य ______ राष्ट्रपतिः आसीत्।,Multiple Choice Question,"1, 2, 3, 4","ह्यस्तन, पूर्वतन","ह्यस्तनः, ह्यस्तनः","पूर्व , पूर्वतन","पूर्वतनं, पूर्वतनः",,D,-,LEVEL 1
HTML,Which of following is not an attribute of &lt;form&gt; tag,Multiple Choice Question,"1, 2, 3, 4",Action,Method,name,url,-,D,,LEVEL 1
DSA OOPS,Which among the following doesn’t illustrate polymorphism?,Multiple Choice Question,"1, 2, 3, 4",Function overloading,Function overriding,Operator overloading,Virtual function,,B,-,LEVEL 1
Aptitude - Ages,15 years hence A will be twice as old as B but 5 years ago A was 4 times as old as B. find the difference of their present age?,Multiple Choice Question,"1, 2, 3, 4",15,45,30,25,,C,-,LEVEL 2
Node,Node.js is written in _____________ .,Multiple Choice Question,"1, 2, 3, 4",c,c++,JavaScript,All of the above,,D,-,LEVEL 1
Aptitude Quiz - Clocks,At what time between 6 O’ clock and 7 O’ clock the hands of the clock will coincide?,Multiple Choice Question,"1, 2, 3, 4",30 8/11 mins,32 8/11 mins,20 8/11 mins,25 8/11 mins,,B,-,LEVEL 1
Javascript,. The object that looks to the thread that creates it is,Multiple Choice Question,"1, 2, 3, 4",Window,Worker,Element,Hash,,B,,LEVEL 2
"JS fundamentals - 4th February, 2020","What is the output of the below code snippet? Assume that the file exists.
let fs = require('fs');
console.log('1');
fs.readFile('test.txt', 'utf8', function(error, data) {
    if (error) {
         throw error;
    }
    console.log('2');
});
console.log('3');",Multiple Choice Question,"1, 2, 3, 4",1 2 3,2 3 1,3 1 2,1 3 2,,D,-,LEVEL 1
HTML,"Digitisation of voice, data, graphics, text can be done with",Multiple Choice Question,"1, 2, 3, 4",ISDN,DSL,ADSL,VSAT,,A,-,LEVEL 1
Delete,Which 2 lines need to be interchanged to convert the following function into postorder traversal?,Multiple Choice Question,"1, 2, 3, 4","A.
inorder(x->left); & inorder(x->right);","B.
inorder(x->left); & printf(“%d”,x->key);","C.
printf(“%d”,x->key); & inorder(x->right);","D.
None of these",,C,-,LEVEL 1
CSS,"In CSS selectors, if the simplest rules can be applied to all occurrences of a particular tag, such selectors are called ………………",Multiple Choice Question,"1, 2, 3, 4",id selectors,element selectors,class selectors,contextual selectors,-,B,,LEVEL 2
Javascript,Select a function of Array object which returns a new array comprised of the current array /or its value(s)?,Multiple Choice Question,"1, 2, 3, 4",some(),concat(),pop(),push(),,B,,LEVEL 2
Quiz 2,"What is the time complexity of the given algorithm:-
Int ans=0;
for(int i=1;i<=n;i++){
for(int j=1;j<=log(i);j++){
ans+=i;
}
}",Multiple Choice Question,"1, 2, 3, 4",O(log(n!)),O(log(n)),O(n),O(n*n),,A,-,LEVEL 2
Sanskrit-lecture-3-quiz-1,"Choose the appropriate option according to the picture given below:

बालक: _____ bālakaḥ ___",Multiple Choice Question,"1, 2, 3, 4",पठति paṭhati,गायति gāyati,लिखति likhati,,,A,-,LEVEL 1
CSS,"Which of the following option best explain this code “background-image: repeating-linear-gradient(-45deg, #426A77, #FFF 6px);”?",Multiple Choice Question,"1, 2, 3, 4",Creating Diagonal Stripes,Creating Spiral Stripes,Creating Cubic Stripes,Creating Straight Stripes,None of these,A,-,LEVEL 3
Assessment Quiz,Which is the property that is triggered in response to JavaScript errors?,Multiple Choice Question,"1, 2, 3, 4",onexception,onmessage,onerror,none of the mentioned,,C,-,LEVEL 1
React-placement,Which of the following contains the correct order of lifecycle methods in mounting?,Multiple Choice Question,"1, 2, 3, 4","1. constructor()
2. static getDerivedStateFromProps()
3. render()
4. componentDidMount()","1. constructor()
2. render()
3. componentDidMount()","1. constructor()
2. static getDerivedStateFromProps()
3. render()","1. constructor()
2. static getDerivedStateFromProps()
3. componentDidMount()
4. render()",,B,,LEVEL 1
Aptitude - Number Series Pattern Recognition,"We know the sum of the interior angles of a triangle is 180°. Show that the sums of the interior angles of a polygons with 3, 4, 5, 6, … sides form an arithmetic progression. Find the sum of the interior angles for a 21 sides polygon.",Multiple Choice Question,"1, 2, 3, 4",3420 degree,2520 degree,1520 degree,none of these,,A,-,LEVEL 3
CSS,"What will happen in this case?<br>&lt;p style=""color: red""&gt;text&lt;/p&gt;",Multiple Choice Question,"1, 2, 3, 4",make that specific paragraph red.,error,nothing happens,None of the mentioned,-,A,,LEVEL 2
Positioning and responsive webpages - DAY 4,Which of these is the default position values in CSS?,Multiple Choice Question,"1, 2, 3, 4",relative,fixed,absolute,static,,D,-,LEVEL 1
Aptitude Quiz - Coding & Decoding,"In a code language, if the word HAT = 29, COAT = 39 then the word PURSE = ?",Multiple Choice Question,"1, 2, 3, 4",78,77,79,80,,C,-,LEVEL 1
Total js,The length property of an Array object is always:,Multiple Choice Question,"1, 2, 3, 4",equal to the highest index of that object,equal to the number of properties in that object,equal to the highest index of that object + 1,,,C,-,LEVEL 1
JS-ass-29JUN,What is the correct HTML for creating hyperlink?,Multiple Choice Question,"1, 2, 3, 4",&lt;a href=”https://www.google.com”&gt;Google&lt;/a&gt;,&lt;a&gt;https://www.google.com&lt;/a&gt;,&lt;a name=”https://www.google.com”&gt;Google&lt;/a&gt;,&lt;a url=”https://www.google.com”&gt;Google&lt;/a&gt;,,A,-,LEVEL 1
Node,Which of the following can be used to get the currently running script's path in Node.js?,Multiple Choice Question,"1, 2, 3, 4",_filename,os.tmpdir(),path.dirname(),path.basename(),,A,-,LEVEL 1
Js Advanced,"What kind of work is being performed in the following given part of JavaScript's code? <br /> <br />&lt;script&gt; <br /> <br />o = {x:1, y:{z:[false,null,""""]}}; <br />s = JSON.stringify(o); <br />p = JSON.parse(s); <br />&lt;/script&gt;",Multiple Choice Question,"1, 2, 3, 4",Object Encapsulation,Object Encoding,Object Abstraction,Object Serialization,,D,-,LEVEL 3
"BOM and DOM - 21st May, 2020",Can you edit the style of an element with javascript DOM queries?,Multiple Choice Question,"1, 2, 3, 4",Yes,No,,,,A,-,LEVEL 1
Javascript,"In multiple line comment , End of the comment is specified by ________ Symbol.",Multiple Choice Question,"1, 2, 3, 4",*\,*/,\\,//,,B,,LEVEL 2
